 Name,RA,Decl,Gal.  long. [deg],Gal.  lat. [deg],Flux  (max) [C.U.],Radius [arc min],Counterpart or  other name(s),Publication(s),SOM
 HESS J1614-518,243.58,-51.82, 331.52, -0.58, 0.25, 12,, Science 307 (2005) 1938;  ApJ 636 (2006) 777, 2008-09; 2018-03
 HESS J1616-508,244.1,-50.9, 332.39, -0.14, 0.19, 8.2, PSR J1617-5055 ?, Science 307 (2005) 1938;  ApJ 636 (2006) 777, 2007-01
 HESS J1640-465,250.18,-46.53, 338.32, -0.02, 0.09, 2.7, G338.3-0.0 ?;  3EG J1639-4702 ?, Science 307 (2005) 1938;  ApJ 636 (2006) 777;  MNRAS 439 (2014) 2828 + erratum 441 (2014) 3640, 2007-03
 HESS J1713-397,258.25,-39.75, 347.28, -0.38, 0.66, 15," RX J1713.7-3946,  G347.3-0.5", Nature 432 (2004) 75;  A&A 449 (2006) 223;  A&A 464 (2007) 235-243;  A&A 612 (2018) A6, 2005-01; 2016-09
 HESS J1745-290,266.415,-29.00611111, 359.94, -0.04, 0.05, 0, Sgr A* /  Sgr A East ?," A&A 425 (2004) L13, PRL 97 (2006) 221102;  A&A 492 (2008) L25;  A&A 503 (2009) 817;  MNRAS 402 (2010) 1877", 2004-12; 2009-12; 2016-04
 HESS J1747-281,266.8466667,-28.15166667, 0.87, 0.08, 0.02, 0, G0.9+0.1, A&A 432 (2005) L25, 2005-02
 HESS J1804-216,271.13,-21.7, 8.40, -0.03, 0.25, 12, G8.7-0.1 /  W30 ?;  PSR J1803-2137 ?, Science 307 (2005) 1938;  ApJ 636 (2006) 777, 2006-09
 HESS J1813-178,273.4,-17.84, 12.81, -0.03, 0.06, 2.2, G12.8-0.02;  AX J1813-178, Science 307 (2005) 1938;  ApJ 636 (2006) 777, 2005-07
 HESS J1825-137,276.51,-13.76, 17.82, -0.74, 0.17, 9.6, PSR J1826-1334;  3EG J1826-1302 ?, Science 307 (2005) 1938;  A&A 442 (2005) L25;  ApJ 636 (2006) 777;  A&A 460 (2006) 365, 2005-09
 HESS J1834-087,278.69,-8.76, 23.24, -0.31, 0.08, 5.4, G23.3-0.3 /  W41?, Science 307 (2005) 1938;  ApJ 636 (2006) 777;  A&A 574 (2015) A27, 2006-06; 2012-05
