NAME,RUNID,EVENTID,START,EVENTMJD,I3TYPE,RA,DEC,RA_ERR_PLUS,RA_ERR_MINUS,DEC_ERR_PLUS,DEC_ERR_MINUS,ENERGY,FAR,SIGNAL,CASCADE_SCR,SKIMMING_SCR,START_SCR,STOP_SCR,THRGOING_SCR,CR_VETO
IC110514A,118178,17334444,32:22.7,55695.06415,gfu-gold,138.47,-1.94,6.68,3.78,0.97,1.12,187,1.3,0.508,3.46E-07,4.48E-07,0.0811,4.65E-05,0.919,FALSE
IC110610A,118309,46569873,13:33.1,55722.42608,gfu-gold,272.55,35.64,1.67,2.42,1.3,1.05,294,0.25,0.75,3.37E-10,3.99E-11,1.20E-06,0.000129,1,FALSE
IC110616A,118342,24578488,30:53.9,55728.72979,gfu-bronze,71.15,5.38,1.41,2.07,0.79,0.9,109,4.34,0.257,7.82E-09,1.32E-07,5.16E-05,1.83E-05,1,FALSE
IC110714A,118435,58198553,42:41.9,55756.11298,hese-gold,68.2,40.67,0.31,1.1,0.44,0.44,72,0.11,0.778,4.33E-05,1.10E-05,0.876,1.81E-05,0.124,FALSE
IC110726A,118475,52691508,15:33.3,55768.5108,gfu-bronze,151.08,6.99,1.19,1.71,0.98,0.83,160,1.92,0.396,0.05,1.39E-06,0.946,0.000202,0.00382,FALSE
IC110807A,118539,54350726,30:46.5,55780.9797,gfu-bronze,336.8,1.53,1.36,1.98,0.93,0.78,108,4.45,0.266,6.02E-07,3.43E-08,0.00188,8.68E-05,0.998,FALSE
IC110818A,118576,45696357,31:38.8,55791.68864,gfu-bronze,332.45,-2.09,0.97,1.23,0.93,0.9,123,2.85,0.34,3.01E-06,5.15E-12,1,1.14E-09,3.38E-07,FALSE
IC110902A,118631,36844560,12:46.3,55806.0922,gfu-gold,9.76,7.59,2.86,1.32,0.87,0.86,243,0.74,0.609,2.21E-07,2.81E-07,0.00121,1.02E-05,0.999,FALSE
IC110907A,118660,61529737,04:14.8,55811.79462,gfu-gold,196.08,9.4,3.91,2.68,1.55,1.06,186,1.15,0.506,6.13E-06,3.60E-09,1,9.42E-09,0.000146,FALSE
IC110929A,118738,995844,15:04.2,55833.26047,gfu-bronze,121.45,50.04,1.34,1.29,0.24,0.15,158,0.27,0.521,1.31E-06,9.41E-12,1,2.02E-10,1.45E-08,FALSE
IC110930A,118741,43101116,40:59.8,55834.44514,gfu-bronze,267.01,-4.44,1.19,1.14,0.6,0.79,160,1.53,0.429,4.21E-07,2.57E-10,1,1.20E-07,0.000362,FALSE
