Source_name,Components,RA,DEC,error,r39,r39err,TS,N0,N0err,gamma,gamma_err,TS100,Asso,Sep
1LHAASOJ0007+5659u  ,KM2A,1.86,57,0.12,0.18,0,86.5,0.33,0.55,3.1,0.2,43.6,,
1LHAASOJ0007+7303u,KM2A,1.91,73.07,0.07,0.17,0.03,361,3.41,0.27,3.4,0.12,171.6,CTA 1,0.12
1LHAASOJ0056+6346u,KM2A  ,14.1,63.77,0.08,0.24,0.03,380.2,1.47,0.1,3.33,0.1,94.1,,
1LHAASOJ0206+4302u,KM2A  ,31.7,43.05,0.13,0.27,0,96,0.24,0.03,2.62,0.16,82.8,,
1LHAASOJ0212+4254u,KM2A  ,33.01,42.91,0.2,0.31,0,38.4,0.12,0.03,2.45,0.23,30.2,,
1LHAASOJ0216+4237u,KM2A  ,34.1,42.63,0.1,0.13,0,102,0.18,0.03,2.58,0.17,65.6,,
1LHAASOJ0249+6022,KM2A  ,42.39,60.37,0.16,0.38,0.08,148.8,0.93,0.09,3.82,0.18,,,
1LHAASOJ0339+5307,KM2A  ,54.79,53.13,0.11,0.22,0,144,0.58,0.06,3.64,0.16,, LHAASOJ0341+5258,0.37
1LHAASOJ0343+5254u*,KM2A  ,55.79,52.91,0.08,0.2,0.02,388.1,1.07,0.07,3.53,0.1,20.2, LHAASOJ0341+5258,0.28
1LHAASOJ0359+5406,KM2A  ,59.78,54.1,0.1,0.3,0.04,259.2,0.85,0.06,3.84,0.15,,,
1LHAASOJ0428+5531*,KM2A  ,66.63,54.63,0.18,0.32,0.06,98,0.54,0.06,3.45,0.19,,,
1LHAASOJ0534+3533,KM2A  ,83.53,35.56,0.18,0.36,0,60.8,0.19,0.03,4.89,0.53,,,
1LHAASOJ0534+2200u,KM2A  ,83.61,22.04,0.011,0.06,0,14328.1,6.23,0.1,3.19,0.03,2381.4,,
1LHAASOJ0542+2311u,KM2A  ,85.71,23.2,0.14,0.98,0.05,745.3,2.93,0.12,3.74,0.09,,HAWC J0543+233,0.21
1LHAASOJ0622+3754,KM2A  ,95.5,37.9,0.08,0.46,0.03,615,1.42,0.07,3.68,0.1,,LHAASOJ0621+3755,0.03
1LHAASOJ0631+1040,KM2A,97.77,10.67,0.11,0.3,0,141.6,0.54,0.06,3.33,0.16,,3HWC J0631+107,0.06
1LHAASOJ0634+1741u,KM2A,98.57,17.69,0.1,0.89,0.04,1043.3,4.42,0.15,3.69,0.06,23,Geminga,0.54
1LHAASOJ0635+0619,KM2A,98.76,6.33,0.23,0.6,0.07,106.1,0.94,0.1,3.67,0.18,,HAWC J0635+070 ,0.67
1LHAASOJ0703+1405 ,KM2A,105.83,14.1,0.26,1.88,0.09,841,6.3,0.23,3.98,0.08,,2HWC J0700+143 ,0.72
1LHASSOJ1809-1918u,KM2A,272.38,-19.543,0.13,0.22,0,134.6,9.46,1.27,3.51,0.26,88.4,HESS J1809-193,0.24
