Source_name,Components,RA,DEC,error,r39,r39err,TS,N0 ,N0err,gamma ,gamma_err,TS100 ,Asso,Sep
1LHAASOJ0007+7303u,WCDA,1.48,73.15,0.1,0.22,0,141.6,5.01,1.11,2.74,0.11,,,
1LHAASOJ0056+6346u,WCDA,13.78,63.96,0.15,0.33,0.07,106.1,1.45,0.41,2.35,0.13,,,
1LHAASOJ0249+6022,WCDA,41.52,60.49,0.4,0.71,0.1,53.3,1.96,0.51,2.52,0.16,,,
1LHAASOJ0343+5254u*,WCDA,55.34,53.05,0.18,0.33,0.05,94.1,0.29,0.13,1.7,0.19,,,
1LHAASOJ0359+5406,WCDA,59.68,54.21,0.14,0.22,0.05,59.3,0.18,0.12,1.74,0.28,,,
1LHAASOJ0428+5531*,WCDA,67.23,55.53,0.36,1.18,0.12,153.8,4.73,0.65,2.66,0.1,,,
1LHAASOJ0500+4454 ,WCDA,75.01,44.92,0.28,0.41,0.07,43.6,0.69,0.16,2.53,0.2,,,
1LHAASOJ0534+3533,WCDA,83.38,35.48,0.18,0.36,0,50.4,0.43,0.11,2.37,0.21,,,
1LHAASOJ0534+2200u,WCDA,83.62,22.01,0.004,0.04,0,73603.7,21.1,0.11,2.69,0.01,,Crab,0.01
1LHAASOJ0542+2311u,WCDA*,86.07,23.19,0.5,1.45,0.18,136.9,2.08,0.54,1.95,0.13,,,
1LHAASOJ0617+2234,WCDA,94.35,22.57,0.18,0.59,0.08,243.4,1.95,0.27,2.92,0.14,,IC 443,0.14
1LHAASOJ0622+3754,WCDA,95.67,37.93,0.29,0.5,0.09,59.3,0.39,0.17,1.82,0.22,,,
1LHAASOJ0634+1741u,WCDA,98.51,17.72,0.28,1.16,0.17,193.2,1.53,0.65,1.65,0.15,,,
1LHAASOJ0703+1405 ,WCDA,105.32,14.55,0.48,1.3,0.21,90.2,2.27,0.74,1.98,0.12,,,
1LHAASOJ1104+3810,WCDA,166.07,38.18,0.01,0.04,0,5343.6,3.68,0.1,3.41±0.03,0.03,,Markarian 421,0.02
1LHAASOJ1219+2915,WCDA,184.98,29.25,0.09,0.08,0,50.4,0.34,0.06,2.67±0.17,0.17,,,
1LHAASOJ1653+3943,WCDA,253.43,39.73,0.01,0.04,0,4121.6,3.77,0.08,2.94,0.02,,Markarian 501 ,0.04
1LHAASOJ1727+5016,WCDA,261.89,50.28,0.1,0.08,0,43.6,0.49,0.08,3.09,0.21,,1ES 1727+502 ,0.14
1LHASSOJ1809-1918u,WCDA,272.66,-19.32,0.2,0.35,0.06,54.8,3.46,0.61,2.24,0.06,,,
1LHASSOJ1813-1245,WCDA,273.35,-12.73,0.21,0.32,0,37.2,2.44,0.44,2.61,0.08,,,
1LHAASSOJ1814-1719u*,WCDA,273.69,-17.33,0.27,0.71,0.07,118.8,26.5,2.46,2.83,0.06,,2HWC J1814-173,0.16
1LHAASOJ1825-1418,WCDA,276.29,-14.32,0.19,0.81,0.05,210.2,39.2,2.3,2.98,0.05,,,
 1LHAASO J1825-1256u  , WCDA ,276.55,-13.04,0.08,0.24,0.03,231,8.27,0.54,2.61,0.03, , ,
1LHAASOJ1825-1337u,WCDA,276.55,-13.73,0.05,0.17,0.02,289,10.4,0.56,2.55,0.03,,,
1LHAASOJ1831-1007u*,WCDA,277.75,-10.12,0.16,0.78,0.04,376.4,17.8,1.06,2.71,0.04,,,
1LHAASOJ1834-0831,WCDA,278.62,-8.53,0.22,0.4,0.08,96,5.99,1.09,3.08,0.13,,HESS J1834-087,0.24
